"File","Line","Method","Path"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\activity-log\page.tsx","106","GET","/activity-log"
"C:\laragon\www\plnip-portal-frontend\app\admin\announcements\page.tsx","116","GET","/admin/announcements"
"C:\laragon\www\plnip-portal-frontend\app\admin\announcements\page.tsx","199","POST","/admin/announcements"
"C:\laragon\www\plnip-portal-frontend\lib\api\certificates.ts","78","GET","/admin/certificates"
"C:\laragon\www\plnip-portal-frontend\app\announcements\page.tsx","52","GET","/announcements"
"C:\laragon\www\plnip-portal-frontend\app\dashboard\announcements\page.tsx","116","GET","/announcements"
"C:\laragon\www\plnip-portal-frontend\app\admin\page.tsx","159","GET","/announcements/latest"
"C:\laragon\www\plnip-portal-frontend\app\change-password-required\page.tsx","103","POST","/auth/change-password-first-time"
"C:\laragon\www\plnip-portal-frontend\lib\api\certificates.ts","22","GET","/certificates"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\home\page.tsx","295","POST","/cms/hero-images"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\leaders\page.tsx","96","POST","/cms/leaders"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\home\page.tsx","356","POST","/cms/login-backgrounds"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\partners\page.tsx","91","POST","/cms/partners"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\home\page.tsx","449","POST","/cms/partners"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\home\page.tsx","432","POST","/cms/settings"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\home\page.tsx","253","POST","/cms/settings"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\home\page.tsx","322","POST","/cms/settings"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\home\page.tsx","418","POST","/cms/settings"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\home\page.tsx","404","POST","/cms/settings"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\home\page.tsx","383","POST","/cms/settings"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\home\page.tsx","238","POST","/cms/settings/upload"
"C:\laragon\www\plnip-portal-frontend\app\dashboard\page.tsx","122","GET","/courses/my"
"C:\laragon\www\plnip-portal-frontend\app\dashboard\classes\page.tsx","43","GET","/courses/my"
"C:\laragon\www\plnip-portal-frontend\app\instructor\announcements\page.tsx","123","GET","/courses/my"
"C:\laragon\www\plnip-portal-frontend\lib\api\courses.ts","58","POST","/courses/sync"
"C:\laragon\www\plnip-portal-frontend\app\instructor\classes\page.tsx","40","GET","/dashboard/instructor"
"C:\laragon\www\plnip-portal-frontend\app\instructor\page.tsx","155","GET","/dashboard/instructor"
"C:\laragon\www\plnip-portal-frontend\app\dashboard\page.tsx","121","GET","/dashboard/learner"
"C:\laragon\www\plnip-portal-frontend\app\admin\page.tsx","158","GET","/dashboard/stats"
"C:\laragon\www\plnip-portal-frontend\app\superadmin\page.tsx","143","GET","/dashboard/stats"
"C:\laragon\www\plnip-portal-frontend\lib\api\escalation.ts","106","GET","/escalations"
